RemoteID;Description;Branch;Number_of_motors;M1_up;M1_down;M2_up;M2_down;M3_up;M3_down;M4_up;M4_down;M5_up;M5_down;Reset_up;Reset_down;Memory 1;Memory 2;Memory 3;Memory 4;Memoposition_save;Synch;Socket;UBL;Child_lock;Flashlight;Massage_program1;Massage_program2;Massage_program3;Massage_out;Show_massage_statistics;Zero Gravity;TV;Quiet Sleep;Flat;Tilt;Widget
80602;RFS-ELLIPSE/WA-SW-06-1902/-/-/-/02 SW/---/--/2 ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80603;RFS-ELLIPSE/WS-SW-09-1845/-/-/M/02;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;n;n;n;y;n;n;y;n;n;n;n;n;n;n;n;n;n;y;n;n
80604;RFS-ELLIPSE/WA-SW-09-1845/-/-/M/02 SW/UBB/--/2 ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;n;n;n;y;n;n;y;n;n;n;n;n;n;n;n;n;n;y;n;n
80608;RFS-ELLIPSE/WA-SW-06-1844/-/-/-/02 SW/---/--/2 ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80616;RFS-ELLIPSE/WS-SW-06-1844/-/-/-/02 GR/---/--/2 ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80673;REMOTE CONTROL 2,4GHz ECO 2MOT. SW/E.VP/m.BA.;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80674;REMOTE CONTROL 2,4GHz ECO 2MOT. SW/E.VP/m.BA./ ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80675;REMOTE CONTROL 2,4GHz ECO 2MOT. WA/E.VP/m.BA.;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80676;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG SENDER ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80683;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG SENDER ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80685;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG SENDER ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80714;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80716;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
80903;RF-TOUCH/BK/BK/14/2009;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;n;n;y;y;n;y;y;y;n;n;n;n;n;n;n;n;y;n;n
81183;RF-TOUCH/BRW/BK/8/1952/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;y;n;y;n;n;n;n;n;n;n;n;y;n;n
81185;RF-TOUCH/BRW/BK/16/1867/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
