package_id,title,developer,developer_id,play_url,relevance,reason,play_status,play_version,play_updated,apkpure_status,apkpure_version_name,apkpure_version_code,apkpure_release_date,apkpure_architectures,apkpure_url,latest_version_name,latest_version_code,cross_check,blocker
com.sddq.sophienew,Sleep Sophie,"ZHEJIANG TRI MIX TECHNOLOGY CO.,LTD.","/store/apps/developer?id=ZHEJIANG+TRI+MIX+TECHNOLOGY+CO.,LTD.",https://play.google.com/store/apps/details?id=com.sddq.sophienew,likely_bed_app,package or title contains a bed-control indicator,available,1.0.6,2025-02-21,removed,,,,,,1.0.6,,google_play_only,
com.sealy.flexirest,Sealy FlexiRest,"ZHEJIANG TRI MIX TECHNOLOGY CO.,LTD.","/store/apps/developer?id=ZHEJIANG+TRI+MIX+TECHNOLOGY+CO.,LTD.",https://play.google.com/store/apps/details?id=com.sealy.flexirest,likely_bed_app,user-confirmed bed app,available,1.0.4,2026-07-09,removed,,,,,,1.0.4,,google_play_only,
com.sealy.motionflex,Sealy MotionFlex,"ZHEJIANG TRI MIX TECHNOLOGY CO.,LTD.","/store/apps/developer?id=ZHEJIANG+TRI+MIX+TECHNOLOGY+CO.,LTD.",https://play.google.com/store/apps/details?id=com.sealy.motionflex,likely_bed_app,package or title contains a bed-control indicator,available,1.0.3,2025-04-21,available,1.0.3,4,2025-09-29,universal,https://apkpure.com/sealy-motionflex/com.sealy.motionflex,1.0.3,4,matched,
com.sendinfo.dreammotionpro,Dreamotion Smart,"Zhejiang Jiecang Linear Motion Technology Co.,Ltd","/store/apps/developer?id=Zhejiang+Jiecang+Linear+Motion+Technology+Co.,Ltd",https://play.google.com/store/apps/details?id=com.sendinfo.dreammotionpro,likely_bed_app,package or title contains a bed-control indicator,available,1.1.8,2026-04-14,removed,,,,,,1.1.8,,google_play_only,
com.sfd.antisnoringpillow,SleepFit Pillow,Ergomotion,/store/apps/developer?id=Ergomotion,https://play.google.com/store/apps/details?id=com.sfd.antisnoringpillow,not_bed_app,pillow controller,available,1.0.4,2026-07-14,available,1.0.3,4,2026-06-08,arm64-v8a,https://apkpure.com/sleepfit-pillow/com.sfd.antisnoringpillow,1.0.4,,version_mismatch,Google Play reports 1.0.4; APKPure reports 1.0.3
com.sfd.slim,Ergo Slim,Ergomotion,/store/apps/developer?id=Ergomotion,https://play.google.com/store/apps/details?id=com.sfd.slim,likely_bed_app,user-confirmed bed app,available,1.3,2023-12-19,available,1.3,6,2023-12-31,arm64-v8a; armeabi-v7a; x86; x86_64,https://apkpure.com/ergo-slim/com.sfd.slim,1.3,6,matched,
com.sfd.tempur_au,Tempur ZeroG,Ergomotion,/store/apps/developer?id=Ergomotion,https://play.google.com/store/apps/details?id=com.sfd.tempur_au,likely_bed_app,package or title contains a bed-control indicator,available,1.6,2024-04-18,available,1.6,15,2024-06-29,arm64-v8a; armeabi-v7a; x86; x86_64,https://apkpure.com/tempur-zerog/com.sfd.tempur_au,1.6,15,matched,
com.sn.b4u,ELECTROBED,"ZHEJIANG TRI MIX TECHNOLOGY CO.,LTD.","/store/apps/developer?id=ZHEJIANG+TRI+MIX+TECHNOLOGY+CO.,LTD.",https://play.google.com/store/apps/details?id=com.sn.b4u,likely_bed_app,package or title contains a bed-control indicator,available,1.6,2023-06-07,available,1.6,6,2026-03-01,universal,https://apkpure.com/electrobed/com.sn.b4u,1.6,6,matched,
com.sn.dianqi,SweetNight,"ZHEJIANG TRI MIX TECHNOLOGY CO.,LTD.","/store/apps/developer?id=ZHEJIANG+TRI+MIX+TECHNOLOGY+CO.,LTD.",https://play.google.com/store/apps/details?id=com.sn.dianqi,likely_bed_app,user-confirmed bed app,available,1.0.6,2024-12-03,removed,,,,,,1.0.6,,google_play_only,
com.starcode.abm5_4,AdjustableM5X4,star_seeds,/store/apps/developer?id=star_seeds,https://play.google.com/store/apps/details?id=com.starcode.abm5_4,likely_bed_app,package or title contains a bed-control indicator,available,1.0.1,2026-05-27,removed,,,,,,1.0.1,,google_play_only,
com.starcode.abm5_5,AdjustableM5X5,star_seeds,/store/apps/developer?id=star_seeds,https://play.google.com/store/apps/details?id=com.starcode.abm5_5,likely_bed_app,package or title contains a bed-control indicator,available,1.2.3,2025-09-30,removed,,,,,,1.2.3,,google_play_only,
com.timotion.mom,MyOfficeMate,TiMOTION,/store/apps/developer?id=TiMOTION,https://play.google.com/store/apps/details?id=com.timotion.mom,not_bed_app,office app,available,1.0.8,2025-08-13,available,1.0.8,5,2025-10-28,arm64-v8a,https://apkpure.com/myofficemate/com.timotion.mom,1.0.8,5,matched,
com.timotion.motti,MOTTI,TiMOTION,/store/apps/developer?id=TiMOTION,https://play.google.com/store/apps/details?id=com.timotion.motti,not_bed_app,non-bed TiMOTION app,available,0.1.8,2025-08-18,available,0.1.8,7,2025-09-18,universal,https://apkpure.com/motti/com.timotion.motti,0.1.8,7,matched,
com.timotion.standuppls,Stand Up Pls.,TiMOTION,/store/apps/developer?id=TiMOTION,https://play.google.com/store/apps/details?id=com.timotion.standuppls,not_bed_app,standing reminder,available,0.21,2025-08-18,available,0.21,10,2026-02-13,universal,https://apkpure.com/stand-up-pls/com.timotion.standuppls,0.21,10,matched,
jcdownload.app.android,JC Programmer,"Zhejiang Jiecang Linear Motion Technology Co.,Ltd","/store/apps/developer?id=Zhejiang+Jiecang+Linear+Motion+Technology+Co.,Ltd",https://play.google.com/store/apps/details?id=jcdownload.app.android,not_bed_app,service/programming utility,available,1.8,2025-12-04,available,1.8,13,2026-01-21,arm64-v8a; armeabi-v7a,https://apkpure.com/jc-programmer/jcdownload.app.android,1.8,13,matched,
