package_id,application_names,local_version_name,local_version_code,local_architectures,play_status,play_version,play_updated,play_developer,play_url,play_availability,apkpure_status,apkpure_version_name,apkpure_version_code,apkpure_release_date,apkpure_architectures,apkpure_url,latest_version_name,latest_version_code,latest_release_date,latest_architectures,latest_source,cross_check,classification,blocker,lookup_date
com.keeson.coolbase,Cool Base,1.0.0,3,,available,1.0.0,2024-07-12,South Bay International,https://play.google.com/store/apps/details?id=com.keeson.coolbase&hl=en&gl=us,{},available,1.0.0,3,2025-08-18,universal,https://apkpure.com/cool-base/com.keeson.coolbase,1.0.0,3,2025-08-18,universal,APKPure,matched,current,,2026-07-14
com.keeson.ergohealth,Ergo Wellness,1.0.0,2,arm64-v8a,available,1.0.0,2026-03-11,Ergomotion,https://play.google.com/store/apps/details?id=com.keeson.ergohealth&hl=en&gl=us,{},available,1.0.0,2,2026-03-18,arm64-v8a,https://apkpure.com/ergo-wellness/com.keeson.ergohealth,1.0.0,2,2026-03-18,arm64-v8a,APKPure,matched,current,,2026-07-14
com.keeson.junasleep,Juna Sleep,1.0.1,18,arm64-v8a,available,1.0.3,2023-10-26,Ergomotion,https://play.google.com/store/apps/details?id=com.keeson.junasleep&hl=en&gl=us,{},available,1.0.1,18,2023-10-26,arm64-v8a,https://apkpure.com/juna-sleep/com.keeson.junasleep,1.0.3,,2023-10-26,,Google Play (APKPure mismatch),version_mismatch,unverifiable,Google Play reports 1.0.3; APKPure reports 1.0.1,2026-07-14
com.keeson.purpleBase,Smart Base,1.0.8,23,arm64-v8a,available,1.0.8,2025-11-28,"Purple Innovation, Inc.",https://play.google.com/store/apps/details?id=com.keeson.purpleBase&hl=en&gl=us,{},available,1.0.8,23,2026-02-27,arm64-v8a,https://apkpure.com/purple-smart-base/com.keeson.purpleBase,1.0.8,23,2026-02-27,arm64-v8a,APKPure,matched,current,,2026-07-14
com.keeson.restonicBT,RestonicBT,1.2.0,3,arm64-v8a; armeabi-v7a; x86; x86_64,available,1.2.0,2023-08-24,Ergomotion,https://play.google.com/store/apps/details?id=com.keeson.restonicBT&hl=en&gl=us,{},available,1.2.0,3,2023-09-29,arm64-v8a; armeabi-v7a; x86; x86_64,https://apkpure.com/restonic-bt-remote/com.keeson.restonicBT,1.2.0,3,2023-09-29,arm64-v8a; armeabi-v7a; x86; x86_64,APKPure,matched,current,,2026-07-14
com.keeson.scottlivingrelease,Scott Living,1.0.1,24,arm64-v8a; armeabi; armeabi-v7a; x86; x86_64,available,1.0.2,2026-03-17,South Bay International,https://play.google.com/store/apps/details?id=com.keeson.scottlivingrelease&hl=en&gl=us,{},available,1.0.1,24,2023-03-23,arm64-v8a; armeabi; armeabi-v7a; x86; x86_64,https://apkpure.com/scott-living/com.keeson.scottlivingrelease,1.0.2,,2026-03-17,,Google Play (APKPure mismatch),version_mismatch,unverifiable,Google Play reports 1.0.2; APKPure reports 1.0.1,2026-07-14
com.keeson.ssbaudio,Sleep Harmony,1.0.0,10,arm64-v8a,available,1.0.1,2025-11-22,Ergomotion,https://play.google.com/store/apps/details?id=com.keeson.ssbaudio&hl=en&gl=us,{},available,1.0.0,10,2025-09-20,arm64-v8a,https://apkpure.com/sleep-harmony/com.keeson.ssbaudio,1.0.1,,2025-11-22,,Google Play (APKPure mismatch),version_mismatch,unverifiable,Google Play reports 1.0.1; APKPure reports 1.0.0,2026-07-14
com.leggett.android.universal,LP Control,2.9.0,46164,arm64-v8a,available,2.9.0,2026-05-27,Leggett & Platt,https://play.google.com/store/apps/details?id=com.leggett.android.universal&hl=en&gl=us,{},available,2.9.0,46164,2026-06-02,arm64-v8a,https://apkpure.com/lp-adjustable-bed-control/com.leggett.android.universal,2.9.0,46164,2026-06-02,arm64-v8a,APKPure,matched,current,,2026-07-14
com.leggett.patterns,LP Comfort,1.16.0,2906,arm64-v8a,not_found,,,,,"{""au"": ""not_found"", ""ca"": ""not_found"", ""de"": ""not_found"", ""gb"": ""not_found"", ""jp"": ""not_found"", ""no"": ""not_found"", ""us"": ""not_found""}",available,1.16.0,2906,2022-09-18,arm64-v8a,https://apkpure.com/lp-comfort-connect/com.leggett.patterns,1.16.0,2906,2022-09-18,arm64-v8a,APKPure,apkpure_only,current,,2026-07-14
com.leggett.prodigy2,Prodigy 2,2.2.0,44,,not_found,,,,,"{""au"": ""not_found"", ""ca"": ""not_found"", ""de"": ""not_found"", ""gb"": ""not_found"", ""jp"": ""not_found"", ""no"": ""not_found"", ""us"": ""not_found""}",available,2.2.0,44,2021-10-15,universal,https://apkpure.com/leggett-platt-prodigy-2/com.leggett.prodigy2,2.2.0,44,2021-10-15,universal,APKPure,apkpure_only,current,,2026-07-14
com.leggett.prodigy2L,Prodigy 2L,1.2,15,,not_found,,,,,"{""au"": ""not_found"", ""ca"": ""not_found"", ""de"": ""not_found"", ""gb"": ""not_found"", ""jp"": ""not_found"", ""no"": ""not_found"", ""us"": ""not_found""}",available,1.2,15,2021-03-13,universal,https://apkpure.com/leggett-platt-prodigy-2-l/com.leggett.prodigy2L,1.2,15,2021-03-13,universal,APKPure,apkpure_only,current,,2026-07-14
com.leggett.prodigy4,Prodigy CE,1.2.0,18,,not_found,,,,,"{""au"": ""not_found"", ""ca"": ""not_found"", ""de"": ""not_found"", ""gb"": ""not_found"", ""jp"": ""not_found"", ""no"": ""not_found"", ""us"": ""not_found""}",available,1.2.0,18,2021-03-07,universal,https://apkpure.com/leggett-platt-prodigy-comfor/com.leggett.prodigy4,1.2.0,18,2021-03-07,universal,APKPure,apkpure_only,current,,2026-07-14
com.leggett.useries,Ultra Series,2.1,16,arm64-v8a; armeabi; armeabi-v7a; mips; x86,not_found,,,,,"{""au"": ""not_found"", ""ca"": ""not_found"", ""de"": ""not_found"", ""gb"": ""not_found"", ""jp"": ""not_found"", ""no"": ""not_found"", ""us"": ""not_found""}",available,2.1,16,2019-01-19,arm64-v8a; armeabi; armeabi-v7a; mips; x86,https://apkpure.com/leggett-platt-ultra-series/com.leggett.useries,2.1,16,2019-01-19,arm64-v8a; armeabi; armeabi-v7a; mips; x86,APKPure,apkpure_only,current,,2026-07-14
com.leggettplatt.lp_pseries,Premier Series,1.30,30,arm64-v8a; armeabi; armeabi-v7a; mips; x86; x86_64,available,1.30,2017-10-13,Leggett & Platt,https://play.google.com/store/apps/details?id=com.leggettplatt.lp_pseries&hl=en&gl=us,{},available,1.30,30,2017-12-31,arm64-v8a; armeabi; armeabi-v7a; mips; x86; x86_64,https://apkpure.com/leggett-platt-premier-series/com.leggettplatt.lp_pseries,1.30,30,2017-12-31,arm64-v8a; armeabi; armeabi-v7a; mips; x86; x86_64,APKPure,matched,current,,2026-07-14
com.limoss.limossremote,limoss Remote,7.1.8,44,arm64-v8a,available,7.1.8,2025-04-08,limoss GmbH & Co. KG,https://play.google.com/store/apps/details?id=com.limoss.limossremote&hl=en&gl=us,{},available,7.1.8,44,2025-05-15,arm64-v8a,https://apkpure.com/limossremote/com.limoss.limossremote,7.1.8,44,2025-05-15,arm64-v8a,APKPure,matched,current,,2026-07-14
com.limoss.stawett,stawett Remote,1.3,10,arm64-v8a; armeabi; armeabi-v7a,not_found,,,,,"{""au"": ""not_found"", ""ca"": ""not_found"", ""de"": ""not_found"", ""gb"": ""not_found"", ""jp"": ""not_found"", ""no"": ""not_found"", ""us"": ""not_found""}",available,1.3,10,2019-02-08,arm64-v8a; armeabi; armeabi-v7a,https://apkpure.com/stawett-remote/com.limoss.stawett,1.3,10,2019-02-08,arm64-v8a; armeabi; armeabi-v7a,APKPure,apkpure_only,current,,2026-07-14
com.linak.leggettandplatt,Performance Series,1.0,124,armeabi; armeabi-v7a; x86,not_found,,,,,"{""au"": ""not_found"", ""ca"": ""not_found"", ""de"": ""not_found"", ""gb"": ""not_found"", ""jp"": ""not_found"", ""no"": ""not_found"", ""us"": ""not_found""}",available,1.0,124,2022-08-24,armeabi; armeabi-v7a; x86,https://apkpure.com/leggett-platt-s-cape/com.linak.leggettandplatt,1.0,124,2022-08-24,armeabi; armeabi-v7a; x86,APKPure,apkpure_only,current,,2026-07-14
