package_id,application_names,archive_count,distinct_file_count,local_version_count,versions,latest_local_version_name,latest_local_version_code,archive_types,architectures,source_paths
com.ore.jalon.officeandr,SmartOffice,1,1,1,1.0.2 (4),1.0.2,4,xapk,,disassembly/apk/analyzed/dewertokin/com.ore.jalon.officeandr.xapk
com.ore.koizumi2,B-remote 1M,1,1,1,1.1 (3),1.1,3,apk,,disassembly/apk/analyzed/dewertokin/com.ore.koizumi2.apk
com.ore.maxcoil,MaxCoil Una,1,1,1,1.1.0 (5),1.1.0,5,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.ore.maxcoil.xapk
com.ore.okincomfortbed,OKIN Comfort Bed,2,1,1,1.1.4 (6),1.1.4,6,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.ore.okincomfortbed.xapk; disassembly/apk/analyzed/OKIN Comfort Bed_1.1.4_com.ore.okincomfortbed.xapk
com.ore.powersbedding,PowersBedding,1,1,1,1.1.0 (2),1.1.0,2,apk,,disassembly/apk/analyzed/dewertokin/com.ore.powersbedding.apk
com.ore.serta330,Serta MP Remote,1,1,1,1.1 (7),1.1,7,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/Serta MP Remote_1.1_com.ore.serta330.apk
com.ore.sfm,INNOVA,2,1,1,2.0 (3),2.0,3,apk,armeabi; armeabi-v7a; mips; x86,disassembly/apk/analyzed/dewertokin/com.ore.sfm.apk; disassembly/apk/analyzed/INNOVA_2.0_com.ore.sfm.apk
com.ore.sfmc2bedsence,Bedsense Bases,1,1,1,1.1 (3),1.1,3,apk,armeabi; armeabi-v7a; mips; x86,disassembly/apk/analyzed/dewertokin/com.ore.sfmc2bedsence.apk
com.ore.tempur,Tempur Curve,1,1,1,1.7 (16),1.7,16,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/Tempur Curve_1.7_APKPure.apk
com.ore.ultramatic,Ultramatic,1,1,1,1.0.2 (4),1.0.2,4,apk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.ore.ultramatic.apk
com.ore.yorkfeng.comfortbaseble2,ComfortBaseForBluetooth,1,1,1,1.1.2 (6),1.1.2,6,xapk,arm64-v8a,disassembly/apk/analyzed/dewertokin/com.ore.yorkfeng.comfortbaseble2.xapk
com.ore.yorkfeng.hestiamotion,HestiaMotion,1,1,1,1.2 (3),1.2,3,apk,,disassembly/apk/analyzed/dewertokin/com.ore.yorkfeng.hestiamotion.apk
com.reverie.reverie,Reverie Nightstand,1,1,1,3.3.3 (113),3.3.3,113,xapk,arm64-v8a,disassembly/apk/analyzed/Reverie Nightstand_3.3.3_com.reverie.reverie.xapk
com.richmat.acaa,ACAA bed control,1,1,1,1.0.4 (5),1.0.4,5,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/richmat/com.richmat.acaa.apk
com.richmat.americanstar,AMERICANSTAR,1,1,1,1.0.0 (1),1.0.0,1,xapk,arm64-v8a,disassembly/apk/analyzed/richmat/com.richmat.americanstar.xapk
com.richmat.avocadoecobase,Avocado Eco Base,1,1,1,1.0.4 (5),1.0.4,5,apk,,disassembly/apk/analyzed/richmat/com.richmat.avocadoecobase.apk
com.richmat.awmotion,AW MOTION,1,1,1,1.0.1 (10102),1.0.1,10102,xapk,arm64-v8a,disassembly/apk/analyzed/richmat/com.richmat.awmotion.xapk
com.richmat.bailey2,Bailey's Bed Control,1,1,1,2.1.18 (21),2.1.18,21,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/richmat/com.richmat.bailey2.apk
com.richmat.baseremote,BaseRemote,1,1,1,1.0.1 (2),1.0.1,2,xapk,arm64-v8a,disassembly/apk/analyzed/richmat/com.richmat.baseremote.xapk
com.richmat.bed_tech,Bed Tech,1,1,1,2.8.3 (13),2.8.3,13,xapk,arm64-v8a,disassembly/apk/analyzed/richmat/com.richmat.bed_tech.xapk
com.richmat.bedsmart,X-Series,1,1,1,1.0.7 (8),1.0.7,8,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/richmat/com.richmat.bedsmart.apk
com.richmat.bedtech3,Bedtech Bed Control,1,1,1,2.2.11 (24),2.2.11,24,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/richmat/com.richmat.bedtech3.apk
com.richmat.best_mattress,Best Mattress,1,1,1,1.1.1 (3),1.1.1,3,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/richmat/com.richmat.best_mattress.apk
com.richmat.blvd_home,Blvd Home,1,1,1,1.0.1 (2),1.0.1,2,apk,arm64-v8a; armeabi-v7a; x86; x86_64,disassembly/apk/analyzed/richmat/com.richmat.blvd_home.apk
com.richmat.bobpowerbase,Power Bob Base,1,1,1,1.0.1 (10100),1.0.1,10100,xapk,arm64-v8a,disassembly/apk/analyzed/richmat/com.richmat.bobpowerbase.xapk
com.richmat.casperbase,Casper Base,2,1,1,1.0.8 (10800),1.0.8,10800,xapk,arm64-v8a,disassembly/apk/analyzed/Casper Base_1.0.8_APKPure.xapk; disassembly/apk/analyzed/richmat/com.richmat.casperbase.xapk
com.richmat.coastersleep,CoasterSleep,1,1,1,1.0.10 (10),1.0.10,10,xapk,,disassembly/apk/analyzed/richmat/com.richmat.coastersleep.xapk
